pattern,batch-size,algo,bs_position,precision,device_name,median,nruns,ecs
"[[1, 48, 192, 48]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,39467.5,2.0,
"[[1, 48, 192, 48]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,39576.0,2.0,
"[[1, 48, 192, 64]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,7448.0,4.0,
"[[1, 48, 192, 64]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8660.5,8.0,
"[[1, 48, 192, 64]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,10234.5,4.0,
"[[1, 48, 192, 64]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,13546.0,8.0,
"[[1, 48, 192, 64]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,10980.0,2.0,
"[[1, 48, 192, 64]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7961.0,4.0,
"[[1, 48, 192, 64]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,69753.0,2.0,
"[[1, 48, 192, 64]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,67778.0,2.0,
"[[1, 48, 192, 96]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,5974.5,2.0,
"[[1, 48, 192, 96]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,12673.5,8.0,
"[[1, 48, 192, 96]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,7859.5,2.0,
"[[1, 48, 192, 96]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,9919.5,4.0,
"[[1, 48, 192, 96]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,19169.0,2.0,
"[[1, 48, 192, 96]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,11365.0,4.0,
"[[1, 48, 192, 96]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,156833.5,2.0,
"[[1, 48, 192, 96]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,156122.5,2.0,
"[[1, 48, 192, 128]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,8613.0,2.0,
"[[1, 48, 192, 128]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8772.0,4.0,
